Job_Title,Rating,Company_Name,Company_Location,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,SAS,Statistics,Machine_Learning,SQL,Python,Tableau,BI,AWS,GoogleCloud,Azure,Excel,Powerpoint,Lowest_Salary(1000s),Highest_Salary(1000s),Avg_Salary(1000s),Highest_salary>120K
Data Scientist,3.9,"JPMorgan Chase Bank, N.A.",Jersey City, NJ,"New York, NY",10000+ ,1799,Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Unknown,0,1,1,1,1,0,0,0,0,0,0,0,119,147,133,1.0
Data Scientist,4.4,D. E. Shaw & Co.,New York, NY,"New York, NY",1001 to 5000 ,1988,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,"Renaissance Technologies LLC, Two Sigma, AQR Capital Management",0,0,0,1,1,1,1,0,0,0,1,0,119,147,133,1.0
Data Scientist,3.0,Known,New York, NY,"New York, NY",201 to 500 ,2004,Private,Advertising & Marketing,Business Services,$100  to  $500 million (USD),Unknown,0,1,1,1,1,0,0,0,0,0,0,0,119,147,133,1.0
Data Scientist Manager,4.0,Liberty Lending,New York, NY,"New York, NY",51 to 200 ,2015,Private,Lending,Finance,Unknown / Non-Applicable,"SoFi, LendingClub, Freedom Financial Network",1,1,0,1,1,0,0,0,0,0,1,1,119,147,133,1.0
Data Scientist,3.9,Amazon,New York, NY,"Seattle, WA",10000+ ,1994,Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,1,1,1,1,0,0,1,0,0,0,0,119,147,133,1.0
Data Scientist,3.6,DoSomething.org,New York, NY,"New York, NY",51 to 200 ,1993,Organization,Social Assistance,Non-Profit,$5  to  $10 million (USD),Unknown,0,1,0,1,1,1,0,0,0,0,0,0,119,147,133,1.0
Data Scientist,3.9,ApTask,New York, NY,"Iselin, NJ",201 to 500 ,2010,Private,IT Services,Information Technology,$50  to  $100 million (USD),"Collabera, Mitchell Martin, The Judge Group",0,0,0,0,1,0,0,0,0,0,0,0,119,147,133,1.0
Data Scientist,2.8,Match Group,New York, NY,"Norwalk, CT",1001 to 5000 ,1998,Private,Advertising & Marketing,Business Services,$100  to  $500 million (USD),Unknown,0,1,1,1,1,0,0,0,0,0,0,0,119,147,133,1.0
Data Scientist,4.4,Conductor,New York, NY,"New York, NY",201 to 500 ,2010,Private,Internet,Information Technology,$25  to  $50 million (USD),"Brightedge Technologies, Moz, seoClarity",0,0,0,0,1,0,0,1,1,0,1,0,74,124,99,1.0
Data Scientist,3.3,Forbes Media,Jersey City, NJ,"Jersey City, NJ",201 to 500 ,1917,Private,Publishing,Media,Unknown / Non-Applicable,"Economist Group, Wall Street Journal",0,1,1,0,1,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,4.0,The Walt Disney Company,New York, NY,"Burbank, CA",10000+ ,1923,Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",1,1,1,1,1,1,0,0,0,0,0,0,74,124,99,1.0
Data Scientist Manager,4.4,Google,New York, NY,"Mountain View, CA",10000+ ,1998,Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",0,1,1,0,1,0,0,0,0,0,1,0,74,124,99,1.0
Data Scientist,3.8,Milliman,New York, NY,"Seattle, WA",1001 to 5000 ,1947,Private,Consulting,Business Services,$1  to  $2 billion (USD),Unknown,1,0,0,1,0,0,0,0,0,0,1,0,74,124,99,1.0
Data Scientist,3.8,CIA,New York, NY,"Langley, VA",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,74,124,99,1.0
Sr. Data Scientist,2.7,Metroplus Health Plan,New York, NY,"New York, NY",1001 to 5000 ,1985,Organization,Health Care Services & Hospitals,Health Care,$2  to  $5 billion (USD),Unknown,0,1,1,1,0,1,0,0,0,0,1,0,74,124,99,1.0
Data Scientist,4.3,Medidata Solutions,New York, NY,"New York, NY",1001 to 5000 ,1999,Public,Enterprise Software & Network Solutions,Information Technology,$500 million  to  $1 billion (USD),Oracle,1,1,0,1,1,0,0,1,0,0,0,0,74,124,99,1.0
Data Scientist,4.5,Facebook,New York, NY,"Menlo Park, CA",10000+ ,2004,Public,Internet,Information Technology,$5  to  $10 billion (USD),"Google, Microsoft, Apple",0,0,0,1,1,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,3.9,Point72,New York, NY,"Stamford, CT",1001 to 5000 ,2014,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,3.3,"LivePerson, Inc.",New York, NY,"New York, NY",1001 to 5000 ,1995,Public,Internet,Information Technology,$100  to  $500 million (USD),"Oracle, Salesforce, 24/7 Real Media",0,1,1,0,1,0,0,1,0,0,0,0,74,124,99,1.0
Data Scientist,3.8,Bloomberg,New York, NY,"New York, NY",10000+ ,1981,Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",0,1,1,0,0,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,3.6,Koch Industries,New York, NY,"Wichita, KS",10000+ ,1940,Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),Unknown,0,1,1,0,1,0,0,1,1,1,0,0,74,124,99,1.0
Data Scientist,3.3,Huxley,New York, NY,"London, United Kingdom",201 to 500 ,1995,Private,Staffing & Outsourcing,Business Services,$25  to  $50 million (USD),Unknown,0,1,0,1,1,0,0,0,0,0,0,0,74,124,99,1.0
Data Analyst,4.1,NYU Langone Health,New York, NY,"New York, NY",10000+ ,1841,Hospital,Health Care Services & Hospitals,Health Care,$5  to  $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",1,1,0,0,0,0,0,0,0,0,1,0,74,124,99,1.0
Data Scientist,2.8,Gate Staffing LLC,New York, NY,"East Northport, NY",1 to 50 ,2010,Self-employed,IT Services,Information Technology,$1  to  $5 million (USD),Unknown,0,1,1,1,1,1,0,0,0,1,1,1,74,124,99,1.0
Data Scientist,3.4,Tapestry,New York, NY,"New York, NY",10000+ ,2017,Public,Other Retail Stores,Retail,Unknown / Non-Applicable,"Capri Holdings, LVMH, Ralph Lauren",0,1,0,1,1,0,0,1,0,1,0,0,74,124,99,1.0
Data Scientist,3.4,Tapestry,New York, NY,"New York, NY",10000+ ,2017,Public,Other Retail Stores,Retail,Unknown / Non-Applicable,"Capri Holdings, LVMH, Ralph Lauren",0,1,0,1,1,1,1,0,0,0,1,0,74,124,99,1.0
Data Scientist,2.9,CKM Advisors,New York, NY,"New York, NY",51 to 200 ,2011,Private,Consulting,Business Services,$10  to  $25 million (USD),Unknown,0,0,1,0,1,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,4.8,Jane Street,New York, NY,"New York, NY",501 to 1000 ,2000,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,3.9,Point72,New York, NY,"Stamford, CT",1001 to 5000 ,2014,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,1,1,1,1,0,0,0,0,0,0,0,74,124,99,1.0
Sr. Data Scientist,3.8,Spotify,New York, NY,"Stockholm, Sweden",1001 to 5000 ,2006,Public,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,1,1,1,1,1,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,5.0,Averity,New York, NY,"New York, NY",1 to 50 ,2014,Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,74,124,99,1.0
Data Scientist,4.7,Jun Group Productions LLC,New York, NY,"New York, NY",51 to 200 ,2005,Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,1,1,0,1,0,102,121,111,1.0
Data Scientist,4.2,NJF Global Holdings,New York, NY,"London, United Kingdom",51 to 200 ,2003,Private,Staffing & Outsourcing,Business Services,$10  to  $25 million (USD),Unknown,0,1,1,1,1,0,0,0,0,0,0,0,102,121,111,1.0
Data Analyst,4.0,DMGT,New York, NY,"London, United Kingdom",5001 to 10000 ,1896,Public,Venture Capital & Private Equity,Finance,$1  to  $2 billion (USD),"Thomson Reuters, Hearst, Pearson",0,1,0,1,1,0,0,0,1,0,1,0,102,121,111,1.0
Data Scientist,4.9,ubergig,New York, NY,"New York, NY",1 to 50 ,2009,Private,Building & Personnel Services,Business Services,$5  to  $10 million (USD),Unknown,0,1,1,0,0,0,0,0,0,0,1,0,102,121,111,1.0
Data Scientist,4.0,OneWire,New York, NY,"New York, NY",1 to 50 ,2007,Private,Staffing & Outsourcing,Business Services,$1  to  $5 million (USD),Unknown,0,1,1,0,1,0,0,0,0,0,0,0,102,121,111,1.0
Data Scientist,3.4,Thomas,New York, NY,"New York, NY",201 to 500 ,1898,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,1,0,0,0,0,102,121,111,1.0
Data Scientist,2.7,TBWA\Chiat\Day,New York, NY,"New York, NY",1001 to 5000 ,1968,Public,Advertising & Marketing,Business Services,$100  to  $500 million (USD),Unknown,0,0,0,1,1,1,1,0,0,0,1,0,102,121,111,1.0
Data Scientist,3.5,Internal Revenue Service,New York, NY,"Washington, DC",10000+ ,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,Unknown,1,1,1,1,1,0,0,0,0,0,0,0,102,121,111,1.0
Data Scientist,3.4,"Harry and David, LLC",Carle Place, NY,"Medford, OR",501 to 1000 ,1934,Public,Food & Beverage Stores,Retail,$100  to  $500 million (USD),Unknown,1,1,0,1,1,1,0,0,0,0,1,0,102,121,111,1.0
Data Scientist,3.3,Mphasis limited,New York, NY,"Bengaluru, India",10000+ ,1992,Public,Computer Hardware & Software,Information Technology,$1  to  $2 billion (USD),"Infosys, Wipro, Tata Consultancy Services",0,1,1,1,0,0,0,0,0,0,1,0,102,121,111,1.0
Sr. Data Scientist,2.5,Foursquare,New York, NY,"New York, NY",201 to 500 ,2009,Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,1,1,0,1,0,0,0,0,0,0,0,102,121,111,1.0
Data Scientist,4.4,Ripple,New York, NY,"San Francisco, CA",201 to 500 ,2012,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,1,1,0,0,1,0,0,1,0,102,121,111,1.0
Data Scientist,4.4,Two Sigma,New York, NY,"New York, NY",1001 to 5000 ,2001,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown,0,1,1,1,1,0,0,1,0,0,0,0,102,121,111,1.0
Sr. Data Scientist,4.1,Rockstar Games,New York, NY,"New York, NY",1001 to 5000 ,1998,Segment,Video Games,Media,$10  to  $25 million (USD),Unknown,0,1,1,1,1,0,0,0,0,0,0,0,102,121,111,1.0
Data Scientist,4.8,TechProjects,New York, NY,"North Brunswick, NJ",1 to 50 ,2011,Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown,0,0,1,1,1,1,0,0,0,0,1,0,102,121,111,1.0
Data Scientist,3.6,Spring Health,New York, NY,"New York, NY",1 to 50 ,2016,Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Unknown,0,1,1,1,1,0,0,0,0,0,1,0,102,121,111,1.0
Sr. Data Scientist,3.8,Grubhub,New York, NY,"Chicago, IL",1001 to 5000 ,2004,Public,Internet,Information Technology,$100  to  $500 million (USD),DoorDash,0,1,1,1,1,0,0,1,0,0,0,0,102,121,111,1.0
Data Scientist,3.9,Amazon,New York, NY,"Seattle, WA",10000+ ,1994,Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",0,1,1,1,1,0,0,0,0,0,1,0,102,121,111,1.0
Sr. Data Scientist,4.5,Arena,New York, NY,"Baltimore, MD",1 to 50 ,2014,Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),Unknown,0,1,1,1,1,0,0,0,0,0,1,0,102,121,111,1.0
Data Analyst,4.4,D. E. Shaw & Co.,New York, NY,"New York, NY",1001 to 5000 ,1988,Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,"Renaissance Technologies LLC, Two Sigma, AQR Capital Management",0,1,0,0,0,0,0,0,0,0,0,0,102,121,111,1.0
Data Scientist,3.6,Strategic Financial Solutions,New York, NY,"New York, NY",501 to 1000 ,2007,Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,"National Debt Relief, Freedom Financial Network",0,1,1,1,1,0,0,0,0,0,1,0,102,121,111,1.0
Data Scientist,3.7,Audible,Newark, NJ,"Newark, NJ",1001 to 5000 ,1995,Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,102,121,111,1.0
Data Scientist,4.7,Seated,New York, NY,"New York, NY",1 to 50 ,2017,Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,1,0,1,1,1,0,1,0,0,0,0,129,210,169,1.0
Sr. Data Scientist,3.8,Spotify,New York, NY,"Stockholm, Sweden",1001 to 5000 ,2006,Public,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,1,1,1,1,1,0,0,0,0,0,0,129,210,169,1.0
Data Scientist,4.9,NYC Data Science Academy,New York, NY,"New York, NY",1 to 50 ,2014,Private,Education Training Services,Education,Unknown / Non-Applicable,"Metis, General Assembly",0,1,1,0,1,0,0,0,0,0,0,0,129,210,169,1.0
Data Scientist,4.2,Solekai Systems Corp,New York, NY,"San Diego, CA",1 to 50 ,2002,Private,Computer Hardware & Software,Information Technology,$10  to  $25 million (USD),Unknown,0,0,0,0,1,0,0,0,0,0,0,0,129,210,169,1.0
Data Scientist,3.4,"Digital Intelligence Systems, LLC",Franklin Lakes, NJ,"Mc Lean, VA",1001 to 5000 ,1994,Private,IT Services,Information Technology,$100  to  $500 million (USD),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,129,210,169,1.0
Sr. Data Analyst,3.9,Roku,New York, NY,"San Jose, CA",1001 to 5000 ,2002,Public,IT Services,Information Technology,$500 million  to  $1 billion (USD),Unknown,0,0,0,1,1,1,0,0,0,0,0,0,129,210,169,1.0
Sr. Data Scientist,4.4,Oliver Wyman,New York, NY,"New York, NY",1001 to 5000 ,1984,Segment,Consulting,Business Services,$1  to  $2 billion (USD),Boston Consulting Group,0,1,1,1,1,0,0,0,0,0,0,0,129,210,169,1.0
